Id	SceneID	DataID	PosX	PosY	PosZ	SpriteName	DescName	DescNameDirection
INT	INT	INT	FLOAT	FLOAT	FLOAT	STRING	INT	INT
MAX_ID=250000;MAX_RECORD=250000;								client
#								
1	12	31200	377.98	301.1	231.45	0	-1	0
2	12	31200	377.78	301	228.11	0	-1	0
3	12	31200	377.05	301.05	228.01	0	-1	0
4	12	31200	375.18	301.09	227.65	0	-1	0
5	12	31200	376.19	301	226.71	0	-1	0
6	12	31200	338.11	301	227.87	0	-1	0
7	12	31200	341.34	301	228.37	0	-1	0
8	12	31200	342.31	301	228.18	0	-1	0
9	12	31200	336.73	301	228.71	0	-1	0
10	12	31200	338.94	301	228.03	0	-1	0
11	12	31206	247.38	301.12	273.55	0	-1	0
12	12	31206	252.98	301.11	273.64	0	-1	0
13	12	31206	258.34	301.17	273.56	0	-1	0
14	12	31206	242.11	301.14	272.61	0	-1	0
15	12	31206	263.67	301.12	273.71	0	-1	0
16	12	31206	298.97	301.07	280.15	0	-1	0
17	12	31206	303.88	301	280.2	0	-1	0
18	12	31206	282.94	301.09	279.68	0	-1	0
19	12	31206	279.67	301	281.55	0	-1	0
20	12	31206	276.28	301	279.99	0	-1	0
21	12	31206	296.95	301.12	253.7	0	-1	0
22	12	31206	303.04	301.12	237.24	0	-1	0
23	12	31206	299.62	301.09	233.37	0	-1	0
24	12	31206	301.26	301	245.53	0	-1	0
25	12	31206	301.56	301	239.23	0	-1	0
26	12	31206	295.18	301.49	234.74	0	-1	0
27	12	31206	300.89	301.49	234.74	0	-1	0
30	12	31206	287.96	301.49	241.44	0	-1	0
31	12	31206	294.16	301.49	236.63	0	-1	0
32	12	31206	282.72	301.13	241.33	0	-1	0
35	12	31204	203.04	301.42	245.51	0	-1	0
36	12	31204	206.48	301.44	246	0	-1	0
37	12	31204	209.02	301.43	248.27	0	-1	0
38	12	31204	204.05	301.21	243.22	0	-1	0
39	12	31204	200	301.37	246.97	0	-1	0
40	12	31207	194.8	300.77	255.69	0	-1	0
41	12	31207	193.05	300.73	257.84	0	-1	0
42	12	31207	193.04	300.67	255.04	0	-1	0
43	12	31207	190.78	301.32	257.63	0	-1	0
44	12	31207	194	300.93	260.54	0	-1	0
45	12	31203	342.88	301.61	32.64	0	-1	0
46	12	31203	337.54	301.98	31	0	-1	0
47	12	31203	340.22	302.05	33.49	0	-1	0
48	12	31203	343.39	302.07	35.78	0	-1	0
49	12	31203	338.37	301.74	35.47	0	-1	0
50	12	31203	316.78	300.1	29.97	0	-1	0
51	12	31203	313.01	300.51	30.49	0	-1	0
52	12	31203	313.5	300.12	28.26	0	-1	0
53	12	31203	313.16	300.28	32.88	0	-1	0
54	12	31203	315.96	300.26	32.6	0	-1	0
60	12	31211	158.87	301	22.33	0	-1	0
61	12	31211	159.6	301	23.78	0	-1	0
62	12	31211	162.81	301	23.41	0	-1	0
63	12	31211	161.83	301.06	25.59	0	-1	0
64	12	31211	155.94	300.92	21.8	0	-1	0
65	12	31211	163.84	301	25.16	0	-1	0
66	12	31208	109.28	301.12	176.13	0	-1	0
67	12	31208	108	301.19	173.99	0	-1	0
68	12	31208	106.14	301	174.1	0	-1	0
69	12	31208	105.61	301	175.81	0	-1	0
70	12	31208	107.12	301.03	175.88	0	-1	0
71	12	31210	86.19	299.76	324.57	0	-1	0
72	12	31210	86	300	327.05	0	-1	0
73	12	31210	88.04	299.51	326.53	0	-1	0
74	12	31210	88.84	299.66	324.1	0	-1	0
75	12	31210	85.51	300	322.23	0	-1	0
76	12	31202	94.21	299.37	293.13	0	-1	0
77	12	31202	97.7	299.34	292.56	0	-1	0
78	12	31202	97.38	299.7	294.88	0	-1	0
79	12	31202	102.41	299.48	291.27	0	-1	0
80	12	31202	98.88	299.6	290.01	0	-1	0
81	12	31209	150.32	300.15	342.46	0	-1	0
82	12	31209	148.48	300.14	340	0	-1	0
83	12	31209	152.96	300.06	343.19	0	-1	0
84	12	31209	151.75	300.2	340	0	-1	0
85	12	31209	147.89	300.21	342.78	0	-1	0
86	12	31201	150.35	300.25	360.63	0	-1	0
87	12	31201	155.96	300.28	360.65	0	-1	0
88	12	31201	150.49	300	356.22	0	-1	0
89	12	31201	156.32	300.16	356.31	0	-1	0
90	12	31201	153.55	300	358.54	0	-1	0
91	12	31205	142.86	300.98	366.34	0	-1	0
